layer_name,layer_idx,sublayer,q,safety,theta,CCR,QZR_nonzero,cosine_sim
bert.encoder.layer.2.attention.self.query,2,Q,0.9,1.0,4.9353635404258966e-05,0.10000257236617265,0.23756447794253882,0.9957585815972924
bert.encoder.layer.2.attention.self.query,2,Q,0.9,1.1,5.4288998944684864e-05,0.08800064676635198,0.23817160134322302,0.9962326319348236
bert.encoder.layer.2.attention.self.query,2,Q,0.9,1.2,5.9224362485110756e-05,0.0783505988100969,0.23866571001694806,0.9966146972141274
bert.encoder.layer.2.attention.self.query,2,Q,0.95,1.0,8.225470082834363e-05,0.05000312358749536,0.24010926393377705,0.9977089863774837
bert.encoder.layer.2.attention.self.query,2,Q,0.95,1.1,9.0480170911178e-05,0.043825769964317605,0.2404244457816453,0.997942910926309
bert.encoder.layer.2.attention.self.query,2,Q,0.95,1.2,9.870564099401236e-05,0.03879495669237808,0.24068008902722077,0.9981303261760307
bert.encoder.layer.2.attention.self.query,2,Q,0.99,1.0,0.0002604310866445303,0.010002829602789915,0.2421774827216756,0.9991380276566112
bert.encoder.layer.2.attention.self.query,2,Q,0.99,1.1,0.00028647419530898334,0.008665199193011983,0.24224483507768885,0.9991730531781584
bert.encoder.layer.2.attention.self.query,2,Q,0.99,1.2,0.0003125173039734363,0.007434138238958118,0.24229706234153403,0.9992002697309672
bert.encoder.layer.2.attention.self.query,2,Q,0.995,1.0,0.0003914300468750298,0.005001414801394957,0.2424047418967857,0.9992506835144401
bert.encoder.layer.2.attention.self.query,2,Q,0.995,1.1,0.0004305730515625328,0.0040239156557880075,0.24243941812043077,0.9992660717763658
bert.encoder.layer.2.attention.self.query,2,Q,0.995,1.2,0.00046971605625003573,0.0033624500685351844,0.24246616096767135,0.9992767516894934
bert.encoder.layer.2.attention.self.query,2,Q,0.999,1.0,0.0007647390011698008,0.0010032228073334484,0.2425571220566037,0.9993092507799781
bert.encoder.layer.2.attention.self.query,2,Q,0.999,1.1,0.0008412129012867809,0.0007570106165226754,0.24256663445243737,0.9993114326977139
bert.encoder.layer.2.attention.self.query,2,Q,0.999,1.2,0.0009176868014037609,0.0005585709403468285,0.24257324240950287,0.9993129255887963
bert.encoder.layer.2.attention.self.value,2,V,0.9,1.0,0.00011140723654534668,0.10000257236617265,0.13104504677804366,0.9956567204903665
bert.encoder.layer.2.attention.self.value,2,V,0.9,1.1,0.00012254796019988136,0.08845632305979281,0.13250344347052812,0.9961463887653745
