layer_idx,sublayer,extra_bit,from_bits,to_bits,marginal_gain
3,FFN2,4,7,8,0.01290293489012234
3,FFN2,5,8,9,0.00640395831839913
3,FFN2,6,9,10,0.0031218212332958127
3,FFN2,7,10,11,0.00159786314218263
3,FFN2,8,11,12,0.0007933909811123048
3,K,1,4,5,0.22181002437876846
3,K,2,5,6,0.17218957042708005
3,K,3,6,7,0.1161235836594596
3,K,4,7,8,0.06962782527772034
3,K,5,8,9,0.03916941329562089
3,K,6,9,10,0.02090222191778669
3,K,7,10,11,0.01074933032106012
3,K,8,11,12,0.005542398889979749
3,O,1,4,5,0.17875047253944135
3,O,2,5,6,0.090205038827712
3,O,3,6,7,0.04446343174469421
3,O,4,7,8,0.021727142058623285
3,O,5,8,9,0.010709750889343587
3,O,6,9,10,0.005368937115035557
3,O,7,10,11,0.0026509128210715008
3,O,8,11,12,0.0013185148936978475
3,Q,1,4,5,0.23035729660936777
3,Q,2,5,6,0.15038897998265666
3,Q,3,6,7,0.0873119537342878
3,Q,4,7,8,0.04835689478254184
3,Q,5,8,9,0.025970428376903824
3,Q,6,9,10,0.013656106691543312
3,Q,7,10,11,0.007150085873394456
3,Q,8,11,12,0.0036813610099371333
3,V,1,4,5,0.21782299373298886
3,V,2,5,6,0.1593091655895114
3,V,3,6,7,0.1028049833048135
3,V,4,7,8,0.060691672840621325
3,V,5,8,9,0.033546281952876594
3,V,6,9,10,0.017846554163115796
3,V,7,10,11,0.009212147033758812
3,V,8,11,12,0.004698962362117526
4,FFN1,1,4,5,0.12747051736570936
4,FFN1,2,5,6,0.18013912730318116
4,FFN1,3,6,7,0.17425816147074036
4,FFN1,4,7,8,0.14012847049255267
4,FFN1,5,8,9,0.10443633260505275
4,FFN1,6,9,10,0.07454892335302157
4,FFN1,7,10,11,0.05130048829397618
4,FFN1,8,11,12,0.035481502035800666
4,FFN2,1,4,5,0.1181820369134974
4,FFN2,2,5,6,0.054421443481258054
4,FFN2,3,6,7,0.02612668493427737
4,FFN2,4,7,8,0.012599217428195756
4,FFN2,5,8,9,0.006205575621120932
4,FFN2,6,9,10,0.0030857261159484436
4,FFN2,7,10,11,0.0015785713515792572
4,FFN2,8,11,12,0.0007695201900540209
4,K,1,4,5,0.20894721508229896
4,K,2,5,6,0.17956348180890536
4,K,3,6,7,0.1329018011744224
4,K,4,7,8,0.08706300502576274
4,K,5,8,9,0.05162833953299143
4,K,6,9,10,0.028850910010249902
4,K,7,10,11,0.015116441462046246
4,K,8,11,12,0.007785561546241089
4,O,1,4,5,0.15753541790292125
4,O,2,5,6,0.07701019374111945
4,O,3,6,7,0.037417118355362315
4,O,4,7,8,0.018029193791709912
4,O,5,8,9,0.008950302568729902
4,O,6,9,10,0.004490913381923172
4,O,7,10,11,0.002231659350543365
4,O,8,11,12,0.0010963250809405641
4,Q,1,4,5,0.22882128803413992
4,Q,2,5,6,0.1651004254033421
4,Q,3,6,7,0.10457750405527438
4,Q,4,7,8,0.06046501795420535
4,Q,5,8,9,0.03302369908252749
4,Q,6,9,10,0.01721059223547941
4,Q,7,10,11,0.008852055220089756
4,Q,8,11,12,0.00440200070382945
4,V,1,4,5,0.21113875487106704
4,V,2,5,6,0.16023603294644786
4,V,3,6,7,0.10655784894223469
4,V,4,7,8,0.06402582115621377
4,V,5,8,9,0.03555902883757465
4,V,6,9,10,0.01893651475300329
4,V,7,10,11,0.009911610355129493
